Product Name (English),Product Status,Product Token,Product Type,Description (English),Selling Method,Case Size,Minimum Order Quantity,Item Weight,Item Weight Unit,Item Length,Item Width,Item Height,Item Dimensions Unit,Packaged Weight,Packaged Weight Unit,Packaged Length,Packaged Width,Packaged Height,Packaged Dimensions Unit,Option Status,SKU,GTIN,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,USD Unit Wholesale Price,USD Unit Retail Price,CAD Unit Wholesale Price,CAD Unit Retail Price,GBR Unit Wholesale Price,GBR Unit Retail Price,EUR Unit Wholesale Price,EUR Unit Retail Price,AUD Unit Wholesale Price,AUD Unit Retail Price,Option Image,Preorder,Ship By Date (YYYY-MM-DD),"Ship By End Date (if range, YYYY-MM-DD)",Deadline To Order (YYYY-MM-DD),Sell After Order By/Ship Date,Product Images,Made In Country,Tester Price (USD),Tester Price (CAD),Tester Price (GBP),Tester Price (EUR),Tester Price (AUD),Customizable,Customization Instructions,Customization Input Required,Customization Input Character Limit,Customization Minimum Order Quantity,Customization Charge Per Unit (USD),Customization Charge Per Unit (CAD),Customization Charge Per Unit (GBP),Customization Charge Per Unit (EUR),Customization Charge Per Unit (AUD),Continue selling when out of stock,On Hand Inventory,On Hand Inventory (Read Only),Restock Date,HS6 Tariff Code
Merry Christmas Letter - letterpress card,Published,p_w8yb77fgu4,Christmas Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1370,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/b19aa9f06c6be17ddabd6e2e24d284671242c2daaa468cd24525786ce633325f.jpeg https://cdn.faire.com/fastly/0513dd6f6eccda9192ac1a998565200b729fd2a231b5008f41fdc7640981a7eb.jpeg https://cdn.faire.com/fastly/03f1f912ffe2a40a278dd22d043081596f430258830ed1ef68b0035ad919ad25.jpeg https://cdn.faire.com/fastly/1a0ea41b869b69b64830ca4e62f088ecf56d01cba6179af9ff45dd39ef32f255.jpeg,United States,,,,,,No,,,,,,,,,,Yes,164,164,,490900
Happy Holidays Penguin - Single,Published,p_hkcc2spt7e,Season's Greetings Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1368,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/89d6f6940b18d26129b399fcc6496a53fdb05446317f7a119a4102a5849dc12e.jpeg https://cdn.faire.com/fastly/b024924ac1e555093eefef867f4f5cf88dc6e1fcd23e348d0ed175fe7fb99019.jpeg https://cdn.faire.com/fastly/b7ad2cb02b57222e137da47d6a7957d14fae3d46c38c5f8194ac813ab140445d.jpeg https://cdn.faire.com/fastly/fd35439b1b9cec16cc920fedaf6df2abe7ac068db9462718ddc332737647c4a3.jpeg https://cdn.faire.com/fastly/563e83ecbf864c918122026d75f93c51524534ccb614250b8d0f13b8ac0b9368.jpeg,United States,,,,,,No,,,,,,,,,,Yes,146,146,,490900
New Year Peace Dove - Single,Published,p_ft4vw4722a,New Year's Card,"Each card was printed by hand on a vintage platen letterpress with hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. 
Folded note card and coordinating envelope, card comes packaged in a clear sleeve. 

A2 Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1369,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/ee3cc59afc4d405e2359355084132248a292319fd536ebf1ca3bb4e798180d45.jpeg https://cdn.faire.com/fastly/6e306488a100f31c611306a753800c1d4aed2bd332024df97424f58cb2399d4f.jpeg https://cdn.faire.com/fastly/b6ceabcdb9cb4ee66c99c861821b44a7d1a6c75deebd13eac13ec616a20086ea.jpeg https://cdn.faire.com/fastly/4f0e7df7add8a2201a8207a123e9a433c330a6e9e74ea58d2d7ed2b9b574129a.jpeg,United States,,,,,,No,,,,,,,,,,Yes,182,182,,490900
Shana Tova Four - letterpress card,Draft,p_bw9udqd2u8,Rosh Hashanah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,0.03,lb,,,,in,,,,,,,Published,1372,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,,United States,,,,,,No,,,,,,,,,,No,200,200,,490900
Shana Tova Three - letterpress card,Published,p_n38t22z722,Rosh Hashanah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,0.03,lb,,,,in,,,,,,,Published,1371,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/653265329239ee3032793383e8c9fb2049a6388e6f5806fd697f67fe717b68f3.jpeg https://cdn.faire.com/fastly/813c937992bc5fa855d35a71570761248dd56527e58c4bb84bd618af8b242e1b.jpeg https://cdn.faire.com/fastly/c8621ef0a96e88c84d8704e47c5639860a9f6963334b1e68ffa542bb607fef57.jpeg https://cdn.faire.com/fastly/74cab911e068592b86844a2018fd541ea8430facc5c0cf81a572512c1351c3dd.jpeg,United States,,,,,,No,,,,,,,,,,No,86,86,,490900
Shana Tova One - letterpress card,Published,p_9wq6qm6dfq,Rosh Hashanah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,0.03,lb,,,,in,,,,,,,Published,1366,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c082b6a3539d044873b211f91c1fe046779db89ec3339cd0395a21ac0ad689a7.jpeg https://cdn.faire.com/fastly/7d599188968b1874bd98059e149286e4a25ada0e80fd455af4ef342292f20a1e.jpeg https://cdn.faire.com/fastly/ddd7d78f21705b513e4890719761d7e4f685bddd7123014d290d6ca9a84eac9f.jpeg https://cdn.faire.com/fastly/a5c52bafa77aff757284c10a1cf4befb28f8c2de7e2c940b7027e37f357c44a7.jpeg,United States,,,,,,No,,,,,,,,,,No,68,68,,490900
Shana Tova Two - letterpress card,Published,p_9x547qmw7q,Rosh Hashanah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,0.03,lb,,,,in,,,,,,,Published,1367,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/936210613987e451d83bf44f3aeed94201a53e04909b379141722f40a6bc7aef.jpeg https://cdn.faire.com/fastly/bf3ae259020185df761fd42ff251bcdc7160b1877c911b76eb2a7d442723e027.jpeg https://cdn.faire.com/fastly/10d251c0c75b564f462da172ae01dc4bae338212c867bb1b915fc913266179d6.jpeg https://cdn.faire.com/fastly/017692d29c2d70a150384eff20de570ce3eca4552fe2815d98825c192f5214eb.jpeg,United States,,,,,,No,,,,,,,,,,No,68,68,,490900
Deepest Sympathy Floral - letterpress card,Published,p_k9khncaz7j,Sympathy Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1364,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/7b91f5aad47bc519ead6147b7cbcb97513ceee0a01ce7fff23e51335ac47fcfa.jpeg https://cdn.faire.com/fastly/5d9831445697e0c71b95c2f23f7ae60bfa52e86e4c09d28b5157c033904312a4.jpeg https://cdn.faire.com/fastly/f5b4d56a2b461fc76907ec67df660e766527f1ca0298a438d2fc6bc18582e189.jpeg https://cdn.faire.com/fastly/77de820213e8e651d6c3ed59fc7120ef514bc97dfd7ab06574f94f91531b00c3.jpeg,United States,,,,,,No,,,,,,,,,,Yes,86,86,,490900
Congrats - letterpress card,Published,p_tyyp87x56z,Congratulations Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1363,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/59bcbf1b262095cf9e8a20a4494172711eb5a7a55fb785343e497d568d19564c.jpeg https://cdn.faire.com/fastly/33f05c20d6621c01cd6c66ae9d3c21fa24b59b61404f847fa7f7838a1396dec2.jpeg https://cdn.faire.com/fastly/508f0ef1ffc8fb82fc71e6495a2f3ff038dae6fb6ebecb3792bad235146a8962.jpeg,United States,,,,,,No,,,,,,,,,,Yes,104,104,,490900
Thank You Pathos - letterpress cards,Draft,p_h3ybnszmxv,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1362,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,,United States,,,,,,No,,,,,,,,,,Yes,200,200,,490900
Sending Love Airmail - letterpress card,Published,p_nmzenfzqvz,Love Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1361,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/68e1208ca820fdc40da7f4f259cc6434bdc247f64b6cf91fc7199e4048a8bbbf.jpeg https://cdn.faire.com/fastly/9d53ad768beab72922808a5bcfe0e1efa0b0eb5d5c938bc265a3b56771b07334.jpeg https://cdn.faire.com/fastly/53a1f9ad34ef40d5a0d887be98b73fd499b2011c713634e94ab1dfba5e1d00eb.jpeg https://cdn.faire.com/fastly/51caf3f75faf6230be176fa5960fe85b9c53619f02693deb5cc9b3684bfd5df0.jpeg,United States,,,,,,No,,,,,,,,,,Yes,194,194,,490900
"Knit, Purl, Sleep - letterpress card",Published,p_j8t3b2jkgm,Everyday Greeting Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1360,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/3bc121d2efcdb3a6167d133786c34ac8e67bfc73bf73034ecd1127897bf2a6d9.jpeg https://cdn.faire.com/fastly/de7afd29ee609d590976cc3ec8c67d0d83bd8900fceb994abb04685e5a170760.jpeg https://cdn.faire.com/fastly/100e3ea9005991d5fa89a5787a73bd23cd4c2dc98128911f8da0eb3fb8c1e817.jpeg,United States,,,,,,No,,,,,,,,,,Yes,188,188,,490900
Thank You Big Heart- letterpress cards,Published,p_xr4uzvyt8z,Thank You Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1359,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/079bf8ff51e8291e195999086001806cbfc1274043eabb9d8519ba66c1a49edf.jpeg https://cdn.faire.com/fastly/7a78fcd77ad009ba71f78dec7b9f6dc275ede0518727cc1a2b1f0c5801b67cdf.jpeg https://cdn.faire.com/fastly/6c73b24f74630bcbca6408aaffb87c0ad2ed8d3c50719e6fe07621248d048123.jpeg,United States,,,,,,No,,,,,,,,,,Yes,194,194,,490900
Bar Mitzvah Burst - letterpress card,Published,p_su8tqdje59,Bar/Bat-Mitzvah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1358,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/bff39d66c2b2f1c2ec1766a6712a9b0839a5d94c9f1f6a973ec38b75dce199a6.jpeg https://cdn.faire.com/fastly/6900a8281751ad6ade1bee1525f1fa4e1ff5d1e1a34e1db7a18099f5f018cca1.jpeg https://cdn.faire.com/fastly/66519a7f582aa66c4184c6a44bc0a7822b3f10aa1a4a31901952e9d4955acb00.jpeg,United States,,,,,,No,,,,,,,,,,Yes,86,86,,490900
Bat Mitzvah Floral Heart - letterpress card,Published,p_8myzkzfbb7,Bar/Bat-Mitzvah Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1357,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/0589a86a3a12e9c6a80f4cecb23ddb0cc2076d10f0d55baebe1decde41fcff51.jpeg https://cdn.faire.com/fastly/f480599c64e250e5e1966e7821af47a889176a68bd6a3cc6162c8b0fd94c57cd.jpeg https://cdn.faire.com/fastly/12f684e5dc22f283944569c31c75e9baaf709cfb02e3079eda96a82b99411548.jpeg https://cdn.faire.com/fastly/761682b980343e3590b1d99d982b298f700d3a2607c3932f58d25d88a40d9960.jpeg,United States,,,,,,No,,,,,,,,,,Yes,98,98,,490900
HB Rainbows Everywhere - letterpress card,Published,p_z53q5zqhxe,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1355,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/013b9aae71890c75b1ba7c9488aa1aaf494685c369b03fcc1fd92efdc8251e77.jpeg https://cdn.faire.com/fastly/e4c96bc3b92cc26d9b81e72433b0b51925faeb3124158e56ffafd4f889af8346.jpeg https://cdn.faire.com/fastly/56e857513649cc23766bf64999e06e835e770c418ef0c79c8f7156d91ae18d39.jpeg https://cdn.faire.com/fastly/7288a7b196b019a5eb7f1507ad8f701bf347b6615df7ff86504dd72b1947929e.jpeg https://cdn.faire.com/fastly/b3e6965366459546736f622f6632f54abbb31b378465f6b56aaeceaef14a7411.jpeg,United States,,,,,,No,,,,,,,,,,Yes,74,74,,490900
HB Big Heart - letterpress card,Published,p_tpf5hd9u93,Birthday Card,"Each card was printed by hand on a vintage platen letterpress. Card comes in sleeve. Folded note card and coordinating envelope. Hand mixed inks. Letterpress printed on 100% cotton cardstock, recycled envelope. Size - 5 1/2""W x 4 1/4""H (A2 size).",By the case,6,6,1.00,oz,,4.30,5.50,in,,,,,,,Published,1354,,,,,,,,$3.00,$6.00,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/e38abd96db4fafc44db3dacae80195eed32e810eeceedfbce50d76c83456bce6.jpeg https://cdn.faire.com/fastly/70c0aaf9b580480b6de4a7bdaa994bc88c53f95aef0df623ef91793e6db0a749.jpeg https://cdn.faire.com/fastly/6b5e7419528926f9c348600e476bf5256f6e69bc0c52fe59ff4c78150167eaa7.jpeg https://cdn.faire.com/fastly/76b742ef177d20c124b5e4749c4ba276a4177896ea11af0c8ae5191c9d73b6c4.jpeg,United States,,,,,,No,,,,,,,,,,Yes,188,188,,490900
